ProductId,ItemCode,ItemDescription,FamilyName,GroupHeader,MainGroup,SubGroup1,SubGroup2,SubGroup3,SubGroup4,SubGroup5,SubGroup6,SubGroup7,SubGroup8,ProductFamily,ItemPurchaseType,Price in USD - P.Y,Price in USD - C.Y,Price in INR - P.Y,Price in INR - C.Y,AnnexureId,UnitofMeasures,EDApplicable,VATApplicable,PackageType,VariantCode,VariantDescription,BelongsTo,,,,
61,E40C292221-,Base Cabinet, 1 RH Door 1 Dwr, 29H x 22D x 21L,Steel Cabinet-Sitting-Base Mounted-Cupboard and Drawer-Kewaunee-E40.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer / Cupboard Cabinets,,,E40C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
62,E40C292224-,Base Cabinet, 1 RH Door 1 Dwr, 29H x 22D x 24L,Steel Cabinet-Sitting-Base Mounted-Cupboard and Drawer-Kewaunee-E40.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer / Cupboard Cabinets,,,E40C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
63,E40C292215L,Base Cabinet, 1 LH Door 1 Dwr, 29H x 22D x 15L,Steel Cabinet-Sitting-Base Mounted-Cupboard and Drawer-Kewaunee-E40L.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer / Cupboard Cabinets,,,E40C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
64,E40C292218L,Base Cabinet, 1 LH Door 1 Dwr, 29H x 22D x 18L,Steel Cabinet-Sitting-Base Mounted-Cupboard and Drawer-Kewaunee-E40L.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer / Cupboard Cabinets,,,E40C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
65,E40C292221L,Base Cabinet, 1 LH Door 1 Dwr, 29H x 22D x 21L,Steel Cabinet-Sitting-Base Mounted-Cupboard and Drawer-Kewaunee-E40L.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer / Cupboard Cabinets,,,E40C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
66,E40C292224L,Base Cabinet, 1 LH Door 1 Dwr, 29H x 22D x 24L,Steel Cabinet-Sitting-Base Mounted-Cupboard and Drawer-Kewaunee-E40L.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer / Cupboard Cabinets,,,E40C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
67,E41C292230-,Base Cabinet, 2 Door 2 Dwr, 29H x 22D x 30L,Steel Cabinet-Sitting-Base Mounted-Cupboard and Drawer-Kewaunee-E41.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer / Cupboard Cabinets,,,E41C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
68,E41C292236-,Base Cabinet, 2 Door 2 Dwr, 29H x 22D x 36L,Steel Cabinet-Sitting-Base Mounted-Cupboard and Drawer-Kewaunee-E41.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer / Cupboard Cabinets,,,E41C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
69,E41C292242-,Base Cabinet, 2 Door 2 Dwr, 29H x 22D x 42L,Steel Cabinet-Sitting-Base Mounted-Cupboard and Drawer-Kewaunee-E41.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer / Cupboard Cabinets,,,E41C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
70,E41C292248-,Base Cabinet, 2 Door 2 Dwr, 29H x 22D x 48L,Steel Cabinet-Sitting-Base Mounted-Cupboard and Drawer-Kewaunee-E41.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer / Cupboard Cabinets,,,E41C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
